Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age,PerformanceScore_enc
3462,2018-09-13,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,09-08-1942,CO,Male,Hispanic,Divorced,Needs Improvement,3,2022-11-08,3,3,1,2023-07-19,Project Management,External,Completed,1,320.01,76,2
3463,2020-04-30,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,21-06-1951,IN,Male,Hispanic,Single,Fully Meets,1,2022-09-18,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,4,926.19,69,4
3464,2018-12-03,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),17-06-1998,MA,Male,Black,Widowed,Needs Improvement,5,2022-12-29,2,5,3,2022-11-13,Customer Service,External,Passed,2,290.47,20,2
3465,2021-11-08,Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,07-01-1962,MA,Male,Asian,Divorced,Needs Improvement,3,2023-05-19,5,4,3,2023-06-04,Communication Skills,External,Incomplete,1,706.1,59,2
3466,2022-04-13,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,26-01-1979,KY,Male,Other,Married,Exceeds,4,2023-08-04,1,3,4,2022-12-07,Customer Service,External,Passed,3,447.66,43,5
3467,2020-05-06,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,14-05-1987,KY,Female,Asian,Divorced,Exceeds,1,2023-06-27,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,1,759.7,33,5
3468,2019-09-09,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,26-04-1998,KY,Female,Black,Single,Fully Meets,4,2023-02-05,3,1,3,2023-05-10,Customer Service,Internal,Completed,3,180.63,21,4
3471,2020-02-29,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,03-01-1967,TX,Male,Asian,Married,Fully Meets,4,2023-04-30,2,4,1,2023-03-23,Customer Service,External,Passed,3,109.98,53,4
3472,2023-01-15,Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,12-01-1982,TX,Male,Other,Married,Exceeds,4,2023-07-26,5,5,4,2023-02-12,Technical Skills,External,Completed,5,537.24,41,5
3473,2023-06-29,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),01-10-1950,CO,Male,Hispanic,Widowed,Exceeds,2,2023-06-28,3,4,4,2022-12-06,Communication Skills,External,Failed,5,789.99,73,5
3474,2020-03-09,Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,16-12-1965,CO,Male,Other,Divorced,Fully Meets,2,2023-05-09,3,1,2,2022-09-01,Customer Service,External,Incomplete,5,155.51,55,4
3475,2021-09-21,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,25-12-1957,IN,Male,Asian,Widowed,Fully Meets,2,2023-01-25,4,3,4,2022-11-02,Customer Service,Internal,Passed,2,648.76,64,4
3476,2023-06-12,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,20-06-1945,MA,Male,Asian,Divorced,Needs Improvement,2,2023-03-03,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,4,533.5,78,2
3477,2019-04-07,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,03-12-1969,KY,Female,Asian,Widowed,Needs Improvement,2,2022-12-05,1,2,1,2022-11-07,Leadership Development,External,Failed,5,429.48,50,2
3478,2018-09-17,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,10-10-1957,KY,Female,Hispanic,Married,Fully Meets,2,2022-11-29,3,4,1,2022-10-05,Technical Skills,External,Incomplete,1,526.74,61,4
3479,2022-08-02,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,17-05-1962,TX,Female,Hispanic,Widowed,Fully Meets,2,2022-11-03,4,4,4,2023-01-18,Communication Skills,Internal,Passed,3,443.45,60,4
3483,2021-09-26,Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,19-06-1964,CO,Male,Asian,Widowed,Fully Meets,1,2022-10-23,1,4,5,2022-08-10,Project Management,External,Passed,4,111.96,57,4
3484,2018-08-29,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,18-07-1995,CO,Male,Other,Single,Fully Meets,4,2022-09-16,1,2,4,2023-06-27,Project Management,External,Passed,1,795.7,23,4
3485,2021-10-26,Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,22-08-1994,CO,Male,White,Widowed,Fully Meets,5,2023-05-07,2,1,3,2022-08-07,Customer Service,Internal,Passed,2,796.45,27,4
3486,2022-10-31,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,14-11-1990,IN,Male,Other,Widowed,Fully Meets,4,2022-08-27,3,1,1,2023-07-23,Project Management,Internal,Completed,5,812.59,32,4
3487,2023-03-15,Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,01-02-1994,KY,Female,Other,Divorced,Fully Meets,4,2022-09-23,5,4,1,2023-07-17,Project Management,External,Completed,5,132.97,29,4
3488,2022-09-09,Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,12-11-1997,KY,Female,Asian,Single,Fully Meets,2,2023-03-11,1,5,1,2022-09-20,Communication Skills,Internal,Completed,1,308.19,25,4
3489,2022-03-04,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,02-05-1953,TX,Female,Black,Divorced,Fully Meets,2,2022-12-03,2,4,5,2023-07-02,Project Management,Internal,Passed,1,131.41,69,4
3490,2019-02-11,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,10-07-1991,TX,Female,Hispanic,Divorced,Fully Meets,2,2022-10-12,5,3,2,2023-07-19,Technical Skills,Internal,Failed,3,389.59,28,4
3491,2021-01-26,Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,02-06-1973,TX,Male,White,Widowed,Fully Meets,5,2022-09-10,3,4,5,2023-07-14,Project Management,Internal,Incomplete,3,442.56,48,4
3492,2019-11-26,Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,08-01-1993,CO,Male,Asian,Married,Fully Meets,1,2023-01-13,1,5,5,2022-09-06,Project Management,Internal,Incomplete,3,327.66,26,4
3493,2019-07-15,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,17-04-1984,CO,Male,Asian,Widowed,Fully Meets,5,2023-04-02,3,1,5,2023-02-19,Project Management,Internal,Completed,3,400.95,35,4
3494,2020-06-18,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,08-02-1994,CO,Male,Black,Single,Fully Meets,4,2022-12-15,1,2,1,2023-02-11,Technical Skills,Internal,Completed,2,910.45,26,4
3495,2023-06-22,Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,27-01-1993,IN,Male,Other,Married,Fully Meets,4,2022-09-08,4,3,5,2022-12-21,Customer Service,External,Passed,1,701.55,30,4
3496,2021-12-02,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,19-09-1964,CA,Male,Other,Widowed,Fully Meets,5,2022-12-26,1,3,2,2023-02-16,Project Management,Internal,Incomplete,1,806.87,57,4
3497,2021-12-08,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,18-02-1981,OR,Female,Hispanic,Widowed,Fully Meets,1,2022-09-18,2,3,4,2023-03-11,Communication Skills,Internal,Completed,2,184.21,40,4
3498,2023-04-26,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,17-10-1998,KY,Female,White,Widowed,Fully Meets,2,2023-06-19,3,3,4,2023-05-30,Project Management,External,Failed,1,208.43,25,4
3499,2018-09-25,Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,16-01-1971,KY,Female,Asian,Widowed,Fully Meets,5,2023-07-21,5,3,5,2023-01-30,Technical Skills,Internal,Incomplete,2,762.45,47,4
3500,2018-11-20,Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),25-02-2000,TX,Female,White,Divorced,Fully Meets,1,2023-05-14,4,1,4,2023-06-15,Leadership Development,External,Incomplete,4,779.79,18,4
3502,2019-10-01,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,29-06-1976,TX,Male,White,Married,Fully Meets,1,2023-04-24,5,3,5,2023-01-03,Customer Service,External,Incomplete,3,427.12,43,4
3503,2022-01-20,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,27-07-1951,CO,Male,Other,Single,Fully Meets,4,2023-01-28,5,2,3,2023-02-20,Technical Skills,Internal,Completed,4,996.35,71,4
3504,2021-10-10,Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,23-08-1980,CO,Male,Hispanic,Married,Fully Meets,2,2023-04-20,3,4,3,2023-06-02,Communication Skills,Internal,Completed,5,963.23,41,4
3505,2020-08-29,Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,24-07-1943,IN,Male,Hispanic,Widowed,Fully Meets,1,2022-11-10,4,3,2,2022-09-13,Leadership Development,Internal,Failed,5,260.97,77,4
3506,2019-08-27,Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,06-07-1988,IN,Male,Other,Married,Fully Meets,2,2023-06-27,2,2,3,2023-05-21,Leadership Development,Internal,Completed,1,781.81,31,4
3507,2021-02-25,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,24-03-1973,CA,Male,White,Single,Fully Meets,4,2023-03-31,2,5,2,2023-05-25,Project Management,Internal,Passed,4,651.77,48,4
3508,2021-07-13,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,26-05-1942,OR,Male,Asian,Single,Fully Meets,5,2023-04-17,1,5,4,2023-04-04,Communication Skills,External,Completed,1,568.22,79,4
3509,2021-04-14,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,04-11-1977,KY,Female,Black,Married,Fully Meets,2,2022-12-03,4,5,2,2023-03-04,Leadership Development,External,Completed,4,612.1,44,4
3510,2020-02-10,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,17-10-1956,KY,Female,Hispanic,Married,Fully Meets,2,2022-08-22,2,4,3,2022-10-27,Technical Skills,External,Completed,4,473.23,64,4
3511,2021-08-17,Area Sales Manager,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,18-02-1997,KY,Female,Asian,Divorced,Fully Meets,4,2023-05-11,5,4,5,2023-04-07,Technical Skills,Internal,Completed,3,344.44,24,4
3514,2020-04-15,Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,03-01-1958,TX,Male,Asian,Married,Fully Meets,1,2022-08-25,2,1,1,2023-02-21,Leadership Development,Internal,Incomplete,3,975.46,62,4
3516,2022-04-07,Area Sales Manager,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,25-06-1988,CO,Male,Asian,Divorced,Fully Meets,5,2022-11-15,2,3,5,2023-06-22,Technical Skills,Internal,Incomplete,1,570.42,34,4
3517,2020-02-19,Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,04-01-1942,IN,Male,Hispanic,Widowed,Fully Meets,4,2023-01-01,4,1,1,2022-09-17,Technical Skills,Internal,Failed,3,391.31,78,4
3518,2021-04-10,Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,24-05-1969,CA,Female,Hispanic,Married,Fully Meets,2,2023-05-13,4,2,5,2023-06-27,Customer Service,Internal,Completed,3,826.58,52,4
3519,2021-12-19,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,28-03-1951,CA,Male,Hispanic,Widowed,Fully Meets,2,2023-06-10,1,3,4,2022-12-11,Leadership Development,External,Incomplete,4,930.69,70,4
3520,2020-12-13,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,01-03-1963,ND,Female,Black,Divorced,Fully Meets,1,2022-09-17,5,1,1,2022-09-11,Customer Service,External,Incomplete,1,607.93,57,4
3521,2019-02-26,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,16-04-1949,KY,Female,Asian,Divorced,Fully Meets,4,2022-09-19,1,3,3,2023-02-28,Communication Skills,Internal,Incomplete,5,723.5,70,4
3522,2020-03-02,Area Sales Manager,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,12-10-1983,KY,Female,Other,Single,Fully Meets,1,2023-07-14,1,5,4,2023-05-05,Communication Skills,External,Completed,5,394.04,37,4
3523,2021-06-25,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,19-12-1978,KY,Female,Other,Single,Fully Meets,2,2023-02-27,3,2,3,2023-07-10,Leadership Development,External,Incomplete,2,451.18,43,4
3526,2022-09-15,Area Sales Manager,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,30-05-1948,TX,Male,White,Widowed,Fully Meets,4,2023-01-28,1,5,3,2022-10-15,Customer Service,Internal,Passed,2,360.5,74,4
3527,2020-05-01,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,15-10-1974,CO,Male,Black,Married,Fully Meets,1,2023-02-27,1,3,2,2023-01-06,Project Management,Internal,Failed,4,396.28,46,4
3528,2022-10-13,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,13-12-1991,CO,Male,Hispanic,Widowed,Fully Meets,2,2023-05-27,5,2,2,2023-03-02,Technical Skills,External,Passed,1,465.96,31,4
3529,2020-01-03,Area Sales Manager,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,18-06-1994,IN,Male,Hispanic,Single,Fully Meets,2,2023-07-15,2,3,4,2022-09-04,Project Management,Internal,Incomplete,1,515.56,26,4
3530,2019-11-13,Area Sales Manager,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,16-06-1993,CA,Female,Black,Widowed,Fully Meets,2,2022-11-27,1,2,5,2023-01-18,Customer Service,External,Passed,2,496.85,26,4
3531,2023-06-17,Area Sales Manager,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,18-05-1943,CA,Male,Black,Divorced,Fully Meets,1,2023-02-24,2,4,4,2022-11-30,Leadership Development,External,Completed,3,629.46,80,4
3532,2021-10-14,Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,27-11-1966,OR,Female,Black,Widowed,Fully Meets,1,2022-10-08,2,2,5,2023-05-02,Technical Skills,Internal,Failed,2,771.61,55,4
3533,2021-06-01,Area Sales Manager,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,12-11-1966,ND,Male,White,Married,Fully Meets,2,2023-01-08,2,5,2,2023-05-11,Leadership Development,Internal,Completed,4,418.4,55,4
3534,2018-09-14,Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,16-08-1959,KY,Female,Asian,Single,Fully Meets,4,2023-04-14,4,3,2,2023-05-21,Customer Service,Internal,Completed,3,900.96,59,4
3535,2018-12-11,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,02-02-1994,KY,Female,Black,Single,Fully Meets,4,2022-11-01,1,5,1,2023-06-25,Technical Skills,External,Incomplete,1,936.96,24,4
3536,2022-08-06,Area Sales Manager,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,02-01-1989,GA,Female,Black,Single,Fully Meets,2,2022-10-09,1,2,4,2022-11-23,Leadership Development,External,Passed,5,269.03,33,4
3539,2019-12-08,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,27-11-1983,CO,Male,Hispanic,Single,Fully Meets,5,2023-02-06,3,3,4,2023-03-17,Project Management,External,Failed,4,234.77,36,4
3540,2020-03-12,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,09-06-1983,CO,Male,White,Widowed,Exceeds,4,2023-06-25,2,2,3,2022-10-26,Communication Skills,External,Incomplete,2,903.46,37,5
3541,2020-04-06,Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,27-10-1991,IN,Male,Black,Married,Exceeds,2,2022-11-28,1,3,3,2023-05-22,Customer Service,External,Passed,4,380.3,29,5
3542,2023-04-15,Area Sales Manager,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,01-03-1948,IN,Male,White,Married,Needs Improvement,1,2022-10-18,2,3,4,2022-08-22,Project Management,Internal,Failed,4,511.42,75,2
3543,2020-11-10,Area Sales Manager,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,18-02-1981,CA,Female,Black,Single,Fully Meets,2,2023-02-11,4,5,5,2023-05-21,Communication Skills,External,Passed,4,171.03,39,4
3544,2023-06-29,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,16-09-2000,CA,Male,Asian,Single,Fully Meets,2,2022-09-14,3,5,3,2023-05-02,Leadership Development,External,Passed,3,842.93,23,4
3545,2022-03-07,Area Sales Manager,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,28-01-1943,OR,Female,Black,Widowed,Fully Meets,1,2023-05-27,2,5,2,2023-05-04,Customer Service,External,Incomplete,5,581.12,79,4
3546,2021-07-31,Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,14-07-1980,ND,Male,Hispanic,Widowed,Exceeds,1,2023-05-10,2,5,5,2022-11-21,Project Management,External,Passed,4,426.45,41,5
3547,2022-01-20,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,25-03-1947,KY,Female,Other,Married,Needs Improvement,2,2022-12-24,2,4,2,2023-04-24,Technical Skills,External,Failed,4,805.05,75,2
3548,2021-07-11,Area Sales Manager,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,25-01-1964,KY,Female,White,Single,Fully Meets,1,2022-10-06,5,5,3,2022-08-16,Leadership Development,External,Passed,3,368.8,57,4
3549,2018-10-15,Area Sales Manager,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,17-03-1955,GA,Female,Black,Divorced,Fully Meets,2,2023-04-19,1,4,1,2022-11-02,Communication Skills,External,Failed,5,788.67,63,4
3551,2018-08-11,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,04-07-1954,TX,Male,Black,Married,Needs Improvement,4,2023-06-03,4,4,3,2022-10-27,Communication Skills,External,Incomplete,1,570.13,64,2
3552,2020-02-16,Area Sales Manager,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,11-08-1942,CO,Male,White,Single,Needs Improvement,1,2022-10-14,3,4,2,2022-11-26,Leadership Development,External,Failed,4,480.87,78,2
3553,2020-01-20,Area Sales Manager,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,07-05-1949,CO,Male,Black,Divorced,Fully Meets,4,2022-10-30,4,2,4,2022-12-11,Project Management,Internal,Incomplete,5,689.48,71,4
3554,2019-03-31,Area Sales Manager,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,14-10-1958,IN,Male,Asian,Widowed,Fully Meets,1,2023-06-07,2,1,2,2023-06-05,Project Management,Internal,Completed,4,283.33,61,4
